"ID" "età" "genere" "frat" "item1" "item2" "item3" "item4" "item5" "au1" "au2" "au3" "au4" "au5" "au6" "au7" "au8" "au9" "au10" "score_ben" "score_au"
"1" 1 16 1 0 1 2 4 3 4 5 4 5 2 3 3 1 4 2 4 14 33
"2" 2 21 1 1 2 2 3 4 3 5 4 5 2 4 4 5 5 1 5 14 40
"3" 3 28 2 4 2 3 5 1 2 4 4 4 4 4 4 4 4 2 4 13 38
"4" 4 15 2 2 3 4 2 2 2 4 5 5 3 5 4 2 4 2 4 13 38
"5" 5 23 1 3 4 5 1 5 2 3 2 3 2 4 3 1 4 1 3 17 26
"6" 6 31 1 2 2 3 2 1 2 5 1 5 1 4 5 1 5 1 5 10 33
"7" 7 17 1 1 1 4 3 5 3 5 3 5 1 5 5 1 5 1 5 16 36
"8" 8 20 2 1 5 2 4 3 2 4 4 4 2 3 4 2 3 2 4 16 32
"9" 9 26 2 2 3 1 1 3 1 4 4 3 5 4 2 3 3 5 4 9 37
"10" 10 29 2 3 2 1 4 2 4 3 4 2 4 4 2 3 2 2 4 13 30
"11" 11 22 1 4 1 2 3 3 5 4 2 3 1 4 4 1 4 1 4 14 28
"12" 12 18 1 2 2 3 3 4 4 5 5 5 2 4 5 3 4 2 4 16 39
"13" 13 17 1 0 5 2 4 3 3 5 2 5 2 5 3 2 4 3 4 17 35
"14" 14 23 2 2 2 3 3 2 2 2 4 4 2 4 4 4 1 5 1 12 31
"15" 15 32 1 1 1 2 2 1 3 5 4 4 3 3 3 2 4 2 4 9 34
"16" 16 33 2 0 2 4 5 5 4 3 4 3 2 3 4 4 3 3 3 20 32
"17" 17 24 1 3 3 2 3 4 2 4 2 4 1 3 4 2 4 1 4 14 29
"18" 18 16 2 2 2 1 2 5 5 3 5 5 5 5 5 5 5 5 5 15 48
"19" 19 15 1 2 1 5 4 2 1 4 3 4 1 3 4 1 4 1 4 13 29
"20" 20 20 2 1 2 3 1 2 2 5 2 5 1 5 5 1 1 1 4 10 30
"21" 21 28 2 4 3 4 4 3 3 5 5 4 4 5 5 2 4 2 4 17 40
"22" 22 30 1 2 4 1 3 4 4 5 2 4 1 5 5 1 5 1 5 16 34
"23" 23 21 1 1 4 2 3 5 4 5 4 4 2 4 3 2 5 1 4 18 34
"24" 24 18 1 0 3 1 3 1 3 5 4 5 1 4 5 1 2 1 4 11 32
"25" 25 20 2 0 2 2 2 5 3 4 2 4 2 5 4 1 4 3 4 14 33
"26" 26 19 1 2 5 3 4 2 3 3 3 4 2 3 3 2 4 2 3 17 29
"27" 27 29 2 4 3 4 5 5 3 5 4 5 3 4 4 2 4 3 4 20 38
"28" 28 30 1 3 2 3 3 3 2 5 4 4 1 3 5 2 5 1 3 13 33
"29" 29 18 2 5 1 2 2 4 4 4 1 4 2 4 4 2 3 3 4 13 31
"30" 30 19 2 2 1 5 4 3 5 4 3 3 1 3 4 2 4 1 4 18 29
"31" 31 26 2 1 2 4 3 2 1 5 4 5 2 4 4 1 5 1 4 12 35
"32" 32 33 2 0 3 3 2 1 2 4 3 5 3 3 4 2 4 1 4 11 33
"33" 33 25 1 1 4 2 3 2 3 5 5 5 4 4 4 3 3 3 3 14 39
"34" 34 19 1 1 5 1 4 5 2 5 3 4 3 4 4 5 4 3 4 17 39
"35" 35 24 2 2 4 2 4 3 1 5 2 5 1 5 4 2 5 1 5 14 35
"36" 36 15 1 3 3 4 2 3 5 2 2 4 2 4 4 3 5 2 4 17 32
"37" 37 18 2 2 2 3 1 2 3 5 3 3 3 3 3 1 5 1 3 11 30
"38" 38 17 1 2 3 2 1 5 3 4 3 4 1 4 5 5 5 1 4 14 36
"39" 39 20 1 0 2 1 1 2 5 5 3 5 1 5 5 1 5 1 5 11 36
"40" 40 29 1 0 4 2 3 1 4 5 5 4 1 5 5 5 5 2 5 14 42
"41" 41 31 2 1 3 4 4 5 2 5 1 5 1 4 5 1 5 1 5 18 33
"42" 42 27 2 2 1 3 2 2 1 4 4 3 3 4 4 2 3 4 3 9 34
"43" 43 22 1 1 2 2 2 3 2 5 4 4 3 4 4 3 4 3 4 11 38
"44" 44 20 1 0 1 1 2 4 3 5 3 4 2 3 4 2 4 2 5 11 34
"45" 45 17 1 3 5 2 3 3 3 5 4 4 3 4 4 1 5 1 4 16 35
"46" 46 18 1 2 4 4 4 2 4 3 3 3 2 4 4 2 4 3 4 18 32
"47" 47 15 1 1 2 3 3 3 1 3 2 3 4 2 3 3 3 4 3 12 30
"48" 48 16 2 2 3 2 2 3 2 3 1 3 2 3 5 1 5 3 5 12 31
"49" 49 20 2 0 3 3 3 5 4 4 3 3 2 4 4 4 4 2 3 18 33
"50" 50 22 1 1 1 2 2 4 5 5 5 4 2 4 3 2 5 1 4 14 35
"51" 51 25 1 4 2 5 4 4 4 5 5 1 5 1 2 3 1 5 1 19 29
"52" 52 31 1 3 2 4 5 3 5 4 5 4 5 4 4 2 4 4 4 19 40
"53" 53 30 2 6 1 3 3 2 4 3 3 3 3 3 3 3 3 3 3 13 30
"54" 54 15 1 5 2 2 2 1 2 1 5 1 5 4 4 5 2 5 2 9 34
"55" 55 19 1 2 3 2 3 2 3 4 2 4 2 4 3 1 5 2 4 13 31
"56" 56 20 2 1 2 2 1 2 3 5 3 3 4 4 3 2 3 2 2 10 31
"57" 57 23 1 2 2 1 3 3 2 3 1 4 2 4 3 1 4 1 4 11 27
"58" 58 28 1 0 3 2 4 4 5 4 5 4 4 4 5 5 4 4 4 18 43
"59" 59 29 2 2 2 4 5 3 3 4 2 3 2 4 4 2 5 2 4 17 32
"60" 60 21 2 0 3 3 4 2 5 2 4 3 2 3 4 2 3 3 3 17 29
"61" 61 17 1 1 5 5 4 3 1 5 2 4 1 4 3 1 5 2 5 18 32
"62" 62 18 2 0 4 3 2 1 2 4 4 4 3 4 3 3 3 3 3 12 34
"63" 63 24 1 2 3 2 1 2 4 4 3 5 1 2 3 3 4 1 4 12 30
"64" 64 29 1 1 1 4 2 5 4 4 4 3 2 5 5 3 3 4 4 16 37
"65" 65 31 2 2 1 5 3 4 1 3 2 3 4 3 4 2 5 2 3 14 31
"66" 66 30 1 0 2 4 3 5 2 3 4 3 4 4 5 1 5 5 5 16 39
"67" 67 16 1 2 3 3 3 4 2 5 1 5 2 3 5 1 5 3 5 15 35
"68" 68 19 2 3 4 4 3 3 3 3 3 2 3 2 4 3 1 4 3 17 28
"69" 69 23 1 2 5 3 4 5 1 2 2 3 2 3 3 2 4 1 3 18 25
"70" 70 28 2 2 2 2 3 2 3 3 3 3 3 3 3 3 3 3 4 12 31
"71" 71 17 1 0 1 2 5 2 1 3 4 4 4 3 4 2 4 3 4 11 35
"72" 72 23 2 0 1 2 3 2 3 4 3 3 1 2 3 1 5 1 5 11 28
"73" 73 24 1 0 2 2 3 1 2 4 3 4 1 5 1 3 4 4 3 10 32
"74" 74 25 2 0 3 3 2 1 2 4 1 5 1 2 3 3 3 3 3 11 28
"75" 75 16 1 0 4 3 2 5 2 4 3 4 3 4 4 2 4 3 4 16 35
"76" 76 17 2 2 5 3 2 5 4 3 4 4 2 4 4 3 4 3 4 19 35
"77" 77 28 1 0 2 1 1 5 1 5 1 4 1 4 4 2 5 1 5 10 32
"78" 78 30 1 1 1 1 2 3 2 4 4 4 5 5 5 1 4 5 2 9 39
"79" 79 31 1 0 5 1 3 2 1 4 4 4 2 4 3 2 5 2 3 12 33
"80" 80 15 1 2 4 1 2 1 4 5 2 4 2 4 3 2 5 2 4 12 33
"81" 81 25 1 0 2 1 3 3 5 2 1 2 3 4 2 4 3 4 3 14 28
"82" 82 27 1 3 1 2 3 4 4 5 3 3 1 3 3 1 4 3 4 14 30
"83" 83 28 1 3 5 5 4 3 3 3 3 3 2 2 3 3 4 3 4 20 30
"84" 84 24 2 0 2 4 3 2 2 5 3 5 2 5 4 4 5 1 5 13 39
"85" 85 23 2 2 4 2 2 1 3 4 2 4 4 4 4 4 2 4 3 12 35
"86" 86 25 2 0 3 3 5 5 4 5 3 4 3 5 4 2 5 2 4 20 37
"87" 87 26 2 2 3 2 3 4 2 5 1 5 1 5 4 1 5 1 4 14 32
"88" 88 24 2 0 3 5 2 5 5 5 1 5 1 4 5 1 5 1 5 20 33
