"ID","età","genere","frat","item1","item2","item3","item4","item5","au1","au2","au3","au4","au5","au6","au7","au8","au9","au10","score_ben","score_au"
1,16,1,0,1,2,4,3,4,5,4,5,2,3,3,1,4,2,4,14,33
2,21,1,1,2,2,3,4,3,5,4,5,2,4,4,5,5,1,5,14,40
3,28,2,4,2,3,5,1,2,4,4,4,4,4,4,4,4,2,4,13,38
4,15,2,2,3,4,2,2,2,4,5,5,3,5,4,2,4,2,4,13,38
5,23,1,3,4,5,1,5,2,3,2,3,2,4,3,1,4,1,3,17,26
6,31,1,2,2,3,2,1,2,5,1,5,1,4,5,1,5,1,5,10,33
7,17,1,1,1,4,3,5,3,5,3,5,1,5,5,1,5,1,5,16,36
8,20,2,1,5,2,4,3,2,4,4,4,2,3,4,2,3,2,4,16,32
9,26,2,2,3,1,1,3,1,4,4,3,5,4,2,3,3,5,4,9,37
10,29,2,3,2,1,4,2,4,3,4,2,4,4,2,3,2,2,4,13,30
11,22,1,4,1,2,3,3,5,4,2,3,1,4,4,1,4,1,4,14,28
12,18,1,2,2,3,3,4,4,5,5,5,2,4,5,3,4,2,4,16,39
13,17,1,0,5,2,4,3,3,5,2,5,2,5,3,2,4,3,4,17,35
14,23,2,2,2,3,3,2,2,2,4,4,2,4,4,4,1,5,1,12,31
15,32,1,1,1,2,2,1,3,5,4,4,3,3,3,2,4,2,4,9,34
16,33,2,0,2,4,5,5,4,3,4,3,2,3,4,4,3,3,3,20,32
17,24,1,3,3,2,3,4,2,4,2,4,1,3,4,2,4,1,4,14,29
18,16,2,2,2,1,2,5,5,3,5,5,5,5,5,5,5,5,5,15,48
19,15,1,2,1,5,4,2,1,4,3,4,1,3,4,1,4,1,4,13,29
20,20,2,1,2,3,1,2,2,5,2,5,1,5,5,1,1,1,4,10,30
21,28,2,4,3,4,4,3,3,5,5,4,4,5,5,2,4,2,4,17,40
22,30,1,2,4,1,3,4,4,5,2,4,1,5,5,1,5,1,5,16,34
23,21,1,1,4,2,3,5,4,5,4,4,2,4,3,2,5,1,4,18,34
24,18,1,0,3,1,3,1,3,5,4,5,1,4,5,1,2,1,4,11,32
25,20,2,0,2,2,2,5,3,4,2,4,2,5,4,1,4,3,4,14,33
26,19,1,2,5,3,4,2,3,3,3,4,2,3,3,2,4,2,3,17,29
27,29,2,4,3,4,5,5,3,5,4,5,3,4,4,2,4,3,4,20,38
28,30,1,3,2,3,3,3,2,5,4,4,1,3,5,2,5,1,3,13,33
29,18,2,5,1,2,2,4,4,4,1,4,2,4,4,2,3,3,4,13,31
30,19,2,2,1,5,4,3,5,4,3,3,1,3,4,2,4,1,4,18,29
31,26,2,1,2,4,3,2,1,5,4,5,2,4,4,1,5,1,4,12,35
32,33,2,0,3,3,2,1,2,4,3,5,3,3,4,2,4,1,4,11,33
33,25,1,1,4,2,3,2,3,5,5,5,4,4,4,3,3,3,3,14,39
34,19,1,1,5,1,4,5,2,5,3,4,3,4,4,5,4,3,4,17,39
35,24,2,2,4,2,4,3,1,5,2,5,1,5,4,2,5,1,5,14,35
36,15,1,3,3,4,2,3,5,2,2,4,2,4,4,3,5,2,4,17,32
37,18,2,2,2,3,1,2,3,5,3,3,3,3,3,1,5,1,3,11,30
38,17,1,2,3,2,1,5,3,4,3,4,1,4,5,5,5,1,4,14,36
39,20,1,0,2,1,1,2,5,5,3,5,1,5,5,1,5,1,5,11,36
40,29,1,0,4,2,3,1,4,5,5,4,1,5,5,5,5,2,5,14,42
41,31,2,1,3,4,4,5,2,5,1,5,1,4,5,1,5,1,5,18,33
